snapshot_time,event_slug,event_title,match_date,tournament,best_of,team1,team2,market_type,market_question,outcome1,outcome2,outcome1_mid,outcome2_mid,mid_source,volume
2026-05-21T23:17:16Z,lol-dnf-drx-2026-05-22,LoL: DN SOOPers vs Kiwoom DRX (BO3) - LCK Rounds 1-2,2026-05-22T00:00:00+00:00,LCK Rounds 1-2,3,DN SOOPers,Kiwoom DRX,game_1_winner,LoL: DN SOOPers vs Kiwoom DRX - Game 1 Winner,DN SOOPers,Kiwoom DRX,0.3550,0.6450,clob_mid,952
2026-05-21T23:17:16Z,lol-dnf-drx-2026-05-22,LoL: DN SOOPers vs Kiwoom DRX (BO3) - LCK Rounds 1-2,2026-05-22T00:00:00+00:00,LCK Rounds 1-2,3,DN SOOPers,Kiwoom DRX,game_2_winner,LoL: DN SOOPers vs Kiwoom DRX - Game 2 Winner,DN SOOPers,Kiwoom DRX,0.3450,0.6550,clob_mid,5
2026-05-21T23:17:16Z,lol-dnf-drx-2026-05-22,LoL: DN SOOPers vs Kiwoom DRX (BO3) - LCK Rounds 1-2,2026-05-22T00:00:00+00:00,LCK Rounds 1-2,3,DN SOOPers,Kiwoom DRX,game_handicap,Game Handicap: KRX (-1.5) vs DN SOOPers (+1.5),Kiwoom DRX,DN SOOPers,0.4450,0.5550,clob_mid,17732
2026-05-21T23:17:16Z,lol-kt-gen-2026-05-22,LoL: KT Rolster vs Gen.G (BO3) - LCK Rounds 1-2,2026-05-22T00:00:00+00:00,LCK Rounds 1-2,3,KT Rolster,Gen.G,match_winner,LoL: KT Rolster vs Gen.G (BO3) - LCK Rounds 1-2,KT Rolster,Gen.G,0.1950,0.8050,clob_mid,588064
2026-05-21T23:17:16Z,lol-kt-gen-2026-05-22,LoL: KT Rolster vs Gen.G (BO3) - LCK Rounds 1-2,2026-05-22T00:00:00+00:00,LCK Rounds 1-2,3,KT Rolster,Gen.G,game_1_winner,LoL: KT Rolster vs Gen.G - Game 1 Winner,KT Rolster,Gen.G,0.2900,0.7100,clob_mid,1592
2026-05-21T23:17:16Z,lol-kt-gen-2026-05-22,LoL: KT Rolster vs Gen.G (BO3) - LCK Rounds 1-2,2026-05-22T00:00:00+00:00,LCK Rounds 1-2,3,KT Rolster,Gen.G,game_2_winner,LoL: KT Rolster vs Gen.G - Game 2 Winner,KT Rolster,Gen.G,0.2900,0.7100,clob_mid,1316
2026-05-21T23:17:16Z,lol-kt-gen-2026-05-22,LoL: KT Rolster vs Gen.G (BO3) - LCK Rounds 1-2,2026-05-22T00:00:00+00:00,LCK Rounds 1-2,3,KT Rolster,Gen.G,game_handicap,Game Handicap: GEN (-1.5) vs KT Rolster (+1.5),Gen.G,KT Rolster,0.5350,0.4650,clob_mid,13610
2026-05-21T23:17:16Z,lol-dk-fox1-2026-05-23,LoL: Dplus KIA vs BNK FEARX (BO3) - LCK Rounds 1-2,2026-05-23T00:00:00+00:00,LCK Rounds 1-2,3,Dplus KIA,BNK FEARX,match_winner,LoL: Dplus KIA vs BNK FEARX (BO3) - LCK Rounds 1-2,Dplus KIA,BNK FEARX,0.7450,0.2550,clob_mid,10987
2026-05-21T23:17:16Z,lol-dk-fox1-2026-05-23,LoL: Dplus KIA vs BNK FEARX (BO3) - LCK Rounds 1-2,2026-05-23T00:00:00+00:00,LCK Rounds 1-2,3,Dplus KIA,BNK FEARX,game_1_winner,LoL: Dplus KIA vs BNK FEARX - Game 1 Winner,Dplus KIA,BNK FEARX,0.6450,0.3550,clob_mid,0
2026-05-21T23:17:16Z,lol-dk-fox1-2026-05-23,LoL: Dplus KIA vs BNK FEARX (BO3) - LCK Rounds 1-2,2026-05-23T00:00:00+00:00,LCK Rounds 1-2,3,Dplus KIA,BNK FEARX,game_2_winner,LoL: Dplus KIA vs BNK FEARX - Game 2 Winner,Dplus KIA,BNK FEARX,0.6400,0.3600,clob_mid,0
2026-05-21T23:17:16Z,lol-dk-fox1-2026-05-23,LoL: Dplus KIA vs BNK FEARX (BO3) - LCK Rounds 1-2,2026-05-23T00:00:00+00:00,LCK Rounds 1-2,3,Dplus KIA,BNK FEARX,game_handicap,Game Handicap: DK (-1.5) vs BNK FEARX (+1.5),Dplus KIA,BNK FEARX,0.4400,0.5600,clob_mid,0
2026-05-21T23:17:16Z,lol-ns-hle1-2026-05-23,LoL: Nongshim Red Force vs Hanwha Life Esports (BO3) - LCK Rounds 1-2,2026-05-23T00:00:00+00:00,LCK Rounds 1-2,3,Nongshim Red Force,Hanwha Life Esports,match_winner,LoL: Nongshim Red Force vs Hanwha Life Esports (BO3) - LCK Rounds 1-2,Nongshim Red Force,Hanwha Life Esports,0.1150,0.8850,clob_mid,1290
2026-05-21T23:17:16Z,lol-ns-hle1-2026-05-23,LoL: Nongshim Red Force vs Hanwha Life Esports (BO3) - LCK Rounds 1-2,2026-05-23T00:00:00+00:00,LCK Rounds 1-2,3,Nongshim Red Force,Hanwha Life Esports,game_1_winner,LoL: Nongshim Red Force vs Hanwha Life Esports - Game 1 Winner,Nongshim Red Force,Hanwha Life Esports,0.2100,0.7900,clob_mid,42
2026-05-21T23:17:16Z,lol-ns-hle1-2026-05-23,LoL: Nongshim Red Force vs Hanwha Life Esports (BO3) - LCK Rounds 1-2,2026-05-23T00:00:00+00:00,LCK Rounds 1-2,3,Nongshim Red Force,Hanwha Life Esports,game_2_winner,LoL: Nongshim Red Force vs Hanwha Life Esports - Game 2 Winner,Nongshim Red Force,Hanwha Life Esports,0.2050,0.7950,clob_mid,4
2026-05-21T23:17:16Z,lol-ns-hle1-2026-05-23,LoL: Nongshim Red Force vs Hanwha Life Esports (BO3) - LCK Rounds 1-2,2026-05-23T00:00:00+00:00,LCK Rounds 1-2,3,Nongshim Red Force,Hanwha Life Esports,game_handicap,Game Handicap: HLE (-1.5) vs Nongshim Red Force (+1.5),Hanwha Life Esports,Nongshim Red Force,0.6400,0.3600,clob_mid,1327
2026-05-21T23:17:16Z,lol-dnf-gen-2026-05-24,LoL: DN SOOPers vs Gen.G (BO3) - LCK Rounds 1-2,2026-05-24T00:00:00+00:00,LCK Rounds 1-2,3,DN SOOPers,Gen.G,match_winner,LoL: DN SOOPers vs Gen.G (BO3) - LCK Rounds 1-2,DN SOOPers,Gen.G,0.0450,0.9550,clob_mid,2076
2026-05-21T23:17:16Z,lol-dnf-gen-2026-05-24,LoL: DN SOOPers vs Gen.G (BO3) - LCK Rounds 1-2,2026-05-24T00:00:00+00:00,LCK Rounds 1-2,3,DN SOOPers,Gen.G,game_1_winner,LoL: DN SOOPers vs Gen.G - Game 1 Winner,DN SOOPers,Gen.G,0.1250,0.8750,clob_mid,0
