series_id,league,year,date_day,blue_team,red_team,oe_winner,oe_loser,oe_score,oe_w_wins,oe_l_wins,num_games,pair_key,page_num,source_url,date_header,match_date,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree,norm_team1,norm_team2,blue_is_team1,format,q_team1,q_team2,q_blue_win,score_match
10765-10765,LPL,2024,2024-02-22,ThunderTalk Gaming,Anyone's Legend,ThunderTalk Gaming,Anyone's Legend,1-1,1,1,2,Anyone's Legend|TT Gaming,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,22 Feb 2024 - Spring Season,2024-02-22,TT Gaming,Anyone's Legend,TT Gaming,Anyone's Legend,0-2,0.0,2.0,2.17,1.72,0.442159,0.557841,TT Gaming,Anyone's Legend,True,BO3,0.46136242590503695,0.538637574094963,0.46136242590503695,True
10766-10766,LPL,2024,2024-02-22,Rare Atom,Oh My God,Rare Atom,Oh My God,1-1,1,1,2,Oh My God|Rare Atom,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,22 Feb 2024 - Spring Season,2024-02-22,Rare Atom,Oh My God,Rare Atom,Oh My God,0-2,0.0,2.0,2.71,1.52,0.359338,0.640662,Rare Atom,Oh My God,True,BO3,0.4050852411104829,0.5949147588895172,0.4050852411104829,True
10767-10767,LPL,2024,2024-02-22,EDward Gaming,Ninjas in Pyjamas,Ninjas in Pyjamas,EDward Gaming,2-0,2,0,2,EDward Gaming|Ninjas in Pyjamas,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,22 Feb 2024 - Spring Season,2024-02-22,EDward Gaming,Ninjas in Pyjamas,EDward Gaming,Ninjas in Pyjamas,0-2,0.0,2.0,6.15,1.14,0.156379,0.843621,EDward Gaming,Ninjas in Pyjamas,True,BO3,0.2501146491434448,0.7498853508565553,0.2501146491434448,True
10768-10768,LPL,2024,2024-02-23,FunPlus Phoenix,LGD Gaming,LGD Gaming,FunPlus Phoenix,2-1,2,1,3,FunPlus Phoenix|LGD Gaming,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,23 Feb 2024 - Spring Season,2024-02-23,FunPlus Phoenix,LGD Gaming,FunPlus Phoenix,LGD Gaming,2-1,2.0,1.0,1.72,2.17,0.557841,0.442159,FunPlus Phoenix,LGD Gaming,True,BO3,0.5386375740949632,0.46136242590503684,0.5386375740949632,True
10769-10769,LPL,2024,2024-02-23,Invictus Gaming,Team WE,Invictus Gaming,Team WE,2-1,2,1,3,Invictus Gaming|Team WE,,,,,,,,,,,,,,,,,,,,,,,
10770-10770,LPL,2024,2024-02-23,LNG Esports,Top Esports,LNG Esports,Top Esports,1-1,1,1,2,LNG Esports|Top Esports,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,23 Feb 2024 - Spring Season,2024-02-23,LNG Esports,Top Esports,LNG Esports,Top Esports,0-2,0.0,2.0,3.04,1.4,0.315315,0.684685,LNG Esports,Top Esports,True,BO3,0.3742236779073661,0.6257763220926339,0.3742236779073661,True
10771-10771,LPL,2024,2024-02-24,ThunderTalk Gaming,Ultra Prime,Ultra Prime,ThunderTalk Gaming,2-1,2,1,3,TT Gaming|Ultra Prime,,,,,,,,,,,,,,,,,,,,,,,
10772-10772,LPL,2024,2024-02-24,Royal Never Give Up,Rare Atom,Rare Atom,Royal Never Give Up,3-0,3,0,3,Rare Atom|Royal Never Give Up,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,24 Feb 2024 - Spring Season,2024-02-24,Royal Never Give Up,Rare Atom,Royal Never Give Up,Rare Atom,1-2,1.0,2.0,1.22,3.8,0.756972,0.243028,Royal Never Give Up,Rare Atom,True,BO3,0.6789561691748885,0.32104383082511145,0.6789561691748885,True
10773-10773,LPL,2024,2024-02-24,JD Gaming,Bilibili Gaming,Bilibili Gaming,JD Gaming,3-0,3,0,3,Bilibili Gaming|JD Gaming,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,24 Feb 2024 - Spring Season,2024-02-24,JD Gaming,Bilibili Gaming,JD Gaming,Bilibili Gaming,1-2,1.0,2.0,2.75,1.5,0.352941,0.647059,JD Gaming,Bilibili Gaming,True,BO3,0.4006532947786135,0.5993467052213866,0.4006532947786135,True
10774-10774,LPL,2024,2024-02-25,EDward Gaming,Anyone's Legend,EDward Gaming,Anyone's Legend,1-1,1,1,2,Anyone's Legend|EDward Gaming,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,25 Feb 2024 - Spring Season,2024-02-25,EDward Gaming,Anyone's Legend,EDward Gaming,Anyone's Legend,2-0,2.0,0.0,5.08,1.18,0.188498,0.811502,EDward Gaming,Anyone's Legend,True,BO3,0.2776809491571698,0.7223190508428302,0.2776809491571698,True
10775-10775,LPL,2024,2024-02-25,Weibo Gaming,Oh My God,Weibo Gaming,Oh My God,2-1,2,1,3,Oh My God|Weibo Gaming,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,25 Feb 2024 - Spring Season,2024-02-25,Weibo Gaming,Oh My God,Weibo Gaming,Oh My God,1-2,1.0,2.0,1.36,3.1,0.695067,0.304933,Weibo Gaming,Oh My God,True,BO3,0.6331953591455877,0.36680464085441233,0.6331953591455877,True
10776-10776,LPL,2024,2024-02-25,Ninjas in Pyjamas,LNG Esports,Ninjas in Pyjamas,LNG Esports,2-1,2,1,3,LNG Esports|Ninjas in Pyjamas,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,25 Feb 2024 - Spring Season,2024-02-25,Ninjas in Pyjamas,LNG Esports,Ninjas in Pyjamas,LNG Esports,2-1,2.0,1.0,1.72,2.17,0.557841,0.442159,Ninjas in Pyjamas,LNG Esports,True,BO3,0.5386375740949632,0.46136242590503684,0.5386375740949632,True
10777-10777,LPL,2024,2024-02-26,Top Esports,FunPlus Phoenix,Top Esports,FunPlus Phoenix,2-1,2,1,3,FunPlus Phoenix|Top Esports,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,26 Feb 2024 - Spring Season,2024-02-26,Top Esports,FunPlus Phoenix,Top Esports,FunPlus Phoenix,1-2,1.0,2.0,1.08,9.45,0.897436,0.102564,Top Esports,FunPlus Phoenix,True,BO3,0.8015000594498313,0.19849994055016873,0.8015000594498313,True
10778-10778,LPL,2024,2024-02-26,Invictus Gaming,LGD Gaming,LGD Gaming,Invictus Gaming,2-1,2,1,3,Invictus Gaming|LGD Gaming,,,,,,,,,,,,,,,,,,,,,,,
10779-10779,LPL,2024,2024-02-27,Bilibili Gaming,ThunderTalk Gaming,Bilibili Gaming,ThunderTalk Gaming,1-1,1,1,2,Bilibili Gaming|TT Gaming,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,27 Feb 2024 - Spring Season,2024-02-27,Bilibili Gaming,TT Gaming,Bilibili Gaming,TT Gaming,2-0,2.0,0.0,1.05,11.9,0.918919,0.081081,Bilibili Gaming,TT Gaming,True,BO3,0.8250868856820781,0.1749131143179219,0.8250868856820781,True
10780-10780,LPL,2024,2024-02-27,JD Gaming,Team WE,JD Gaming,Team WE,3-0,3,0,3,JD Gaming|Team WE,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,27 Feb 2024 - Spring Season,2024-02-27,JD Gaming,Team WE,JD Gaming,Team WE,2-1,2.0,1.0,1.2,5.08,0.808917,0.191083,JD Gaming,Team WE,True,BO3,0.7201761251301323,0.2798238748698677,0.7201761251301323,True
10781-10781,LPL,2024,2024-02-28,Ultra Prime,Rare Atom,Ultra Prime,Rare Atom,1-1,1,1,2,Rare Atom|Ultra Prime,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,28 Feb 2024 - Spring Season,2024-02-28,Ultra Prime,Rare Atom,Ultra Prime,Rare Atom,2-0,2.0,0.0,2.35,1.63,0.409548,0.590452,Ultra Prime,Rare Atom,True,BO3,0.43940196889976196,0.5605980311002381,0.43940196889976196,True
10782-10782,LPL,2024,2024-02-28,LNG Esports,Royal Never Give Up,LNG Esports,Royal Never Give Up,1-1,1,1,2,LNG Esports|Royal Never Give Up,5.0,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2024/results/#/page/5/,28 Feb 2024 - Spring Season,2024-02-28,LNG Esports,Royal Never Give Up,LNG Esports,Royal Never Give Up,2-0,2.0,0.0,1.5,2.86,0.655963,0.344037,LNG Esports,Royal Never Give Up,True,BO3,0.6055428991916412,0.39445710080835883,0.6055428991916412,True
