league,page_num,source_url,date_header,match_date,year,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,04 Aug 2025 - Fall Season,2025-08-04,2025,Team WE,FunPlus Phoenix,Team WE,FunPlus Phoenix,2-1,2,1,1.55,2.9,0.651685,0.348315
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,03 Aug 2025 - Fall Season,2025-08-03,2025,Bilibili Gaming,Top Esports,Bilibili Gaming,Top Esports,2-0,2,0,1.69,2.25,0.571066,0.428934
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,03 Aug 2025 - Fall Season,2025-08-03,2025,LNG Esports,EDward Gaming,LNG Esports,EDward Gaming,0-2,0,2,4.4,1.22,0.217082,0.782918
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,02 Aug 2025 - Fall Season,2025-08-02,2025,JD Gaming,Anyone's Legend,JD Gaming,Anyone's Legend,0-2,0,2,3.4,1.32,0.279661,0.720339
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,02 Aug 2025 - Fall Season,2025-08-02,2025,Ultra Prime,LNG Esports,Ultra Prime,LNG Esports,2-1,2,1,2.99,1.44,0.325056,0.674944
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,01 Aug 2025 - Fall Season,2025-08-01,2025,Weibo Gaming,Invictus Gaming,Weibo Gaming,Invictus Gaming,0-2,0,2,2.16,1.7,0.440415,0.559585
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,01 Aug 2025 - Fall Season,2025-08-01,2025,JD Gaming,FunPlus Phoenix,JD Gaming,FunPlus Phoenix,2-0,2,0,1.48,2.9,0.6621,0.3379
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,31 Jul 2025 - Fall Season,2025-07-31,2025,Weibo Gaming,Bilibili Gaming,Weibo Gaming,Bilibili Gaming,0-2,0,2,2.98,1.4,0.319635,0.680365
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,31 Jul 2025 - Fall Season,2025-07-31,2025,Team WE,Top Esports,Team WE,Top Esports,1-2,1,2,5.0,1.2,0.193548,0.806452
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,30 Jul 2025 - Fall Season,2025-07-30,2025,Team WE,Anyone's Legend,Team WE,Anyone's Legend,1-2,1,2,6.5,1.11,0.145861,0.854139
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,29 Jul 2025 - Fall Season,2025-07-29,2025,Invictus Gaming,FunPlus Phoenix,Invictus Gaming,FunPlus Phoenix,0-2,0,2,1.12,7.2,0.865385,0.134615
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,28 Jul 2025 - Fall Season,2025-07-28,2025,JD Gaming,Top Esports,JD Gaming,Top Esports,0-2,0,2,3.44,1.42,0.292181,0.707819
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,28 Jul 2025 - Fall Season,2025-07-28,2025,LGD Gaming,EDward Gaming,LGD Gaming,EDward Gaming,0-2,0,2,4.1,1.28,0.237918,0.762082
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,27 Jul 2025 - Fall Season,2025-07-27,2025,Weibo Gaming,Anyone's Legend,Weibo Gaming,Anyone's Legend,2-1,2,1,4.3,1.25,0.225225,0.774775
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,27 Jul 2025 - Fall Season,2025-07-27,2025,Bilibili Gaming,FunPlus Phoenix,Bilibili Gaming,FunPlus Phoenix,2-0,2,0,1.1,8.0,0.879121,0.120879
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,26 Jul 2025 - Fall Season,2025-07-26,2025,JD Gaming,Team WE,JD Gaming,Team WE,2-1,2,1,1.62,2.36,0.592965,0.407035
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,26 Jul 2025 - Fall Season,2025-07-26,2025,Anyone's Legend,Bilibili Gaming,Anyone's Legend,Bilibili Gaming,1-2,1,2,1.36,3.5,0.720165,0.279835
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,25 Jul 2025 - Fall Season,2025-07-25,2025,LNG Esports,LGD Gaming,LNG Esports,LGD Gaming,1-2,1,2,1.87,2.12,0.531328,0.468672
LPL,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lpl-2025/results/#/page/2/,25 Jul 2025 - Fall Season,2025-07-25,2025,Ninjas in Pyjamas,EDward Gaming,Ninjas in Pyjamas,EDward Gaming,0-2,0,2,1.76,2.11,0.54522,0.45478
