league,page_num,source_url,date_header,match_date,year,team1_raw,team2_raw,team1,team2,series_score,score1,score2,odd1_decimal,odd2_decimal,implied_prob1_vigfree,implied_prob2_vigfree
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,23 Mar 2024 - Spring - Stage 1,2024-03-23,2024,Shifters,Movistar KOI,Shifters,Movistar KOI,0-1,0,1,1.7,2.2,0.564103,0.435897
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,23 Mar 2024 - Spring - Stage 1,2024-03-23,2024,Vitality,GIANTX,Vitality,GiantX,0-1,0,1,1.5,2.82,0.652778,0.347222
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,23 Mar 2024 - Spring - Stage 1,2024-03-23,2024,SK Gaming,Fnatic,SK Gaming,Fnatic,0-1,0,1,3.04,1.4,0.315315,0.684685
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,22 Mar 2024 - Spring - Stage 1,2024-03-22,2024,Vitality,Karmine Corp,Vitality,Karmine Corp,1-0,1,0,1.65,2.36,0.588529,0.411471
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,22 Mar 2024 - Spring - Stage 1,2024-03-22,2024,Movistar KOI,Heretics,Movistar KOI,Heretics,0-1,0,1,1.8,2.24,0.554455,0.445545
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,22 Mar 2024 - Spring - Stage 1,2024-03-22,2024,G2 Esports,SK Gaming,G2 Esports,SK Gaming,1-0,1,0,1.21,4.38,0.783542,0.216458
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,22 Mar 2024 - Spring - Stage 1,2024-03-22,2024,Shifters,Fnatic,Shifters,Fnatic,1-0,1,0,2.82,1.52,0.35023,0.64977
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,22 Mar 2024 - Spring - Stage 1,2024-03-22,2024,GIANTX,Rogue,GiantX,Rogue,1-0,1,0,2.05,1.77,0.463351,0.536649
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,18 Mar 2024 - Spring - Stage 1,2024-03-18,2024,SK Gaming,Karmine Corp,SK Gaming,Karmine Corp,1-0,1,0,1.85,1.96,0.514436,0.485564
LEC,2,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/2/,18 Mar 2024 - Spring - Stage 1,2024-03-18,2024,Rogue,Movistar KOI,Rogue,Movistar KOI,0-1,0,1,2.68,1.5,0.358852,0.641148
LEC,3,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/3/,18 Mar 2024 - Spring - Stage 1,2024-03-18,2024,G2 Esports,GIANTX,G2 Esports,GiantX,1-0,1,0,1.16,5.3,0.820433,0.179567
LEC,3,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/3/,18 Mar 2024 - Spring - Stage 1,2024-03-18,2024,Vitality,Fnatic,Vitality,Fnatic,0-1,0,1,2.82,1.48,0.344186,0.655814
LEC,3,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/3/,17 Mar 2024 - Spring - Stage 1,2024-03-17,2024,Fnatic,G2 Esports,Fnatic,G2 Esports,1-0,1,0,2.9,1.43,0.330254,0.669746
LEC,3,https://www.oddsportal.com/esports/league-of-legends/league-of-legends-lec-2024/results/#/page/3/,17 Mar 2024 - Spring - Stage 1,2024-03-17,2024,Heretics,SK Gaming,Heretics,SK Gaming,1-0,1,0,2.0,1.9,0.487179,0.512821
