gameid,league,date,time_min,gold_diff,xp_diff,cs_diff,kill_diff,prior_p_blue,blue_wins
LOLTMNT03_336867,LCK,2026-01-18T12:05:41+00:00,10,-382.0,295.0,-4.0,-1,0.16783691900213,0
LOLTMNT03_336867,LCK,2026-01-18T12:05:41+00:00,15,-536.0,-571.0,-12.0,-2,0.16783691900213,0
LOLTMNT03_336867,LCK,2026-01-18T12:05:41+00:00,20,-2458.0,-1127.0,-25.0,-4,0.16783691900213,0
LOLTMNT03_336867,LCK,2026-01-18T12:05:41+00:00,25,-5534.0,-6134.0,-23.0,-8,0.16783691900213,0
LOLTMNT06_163319,LEC,2026-01-18T17:13:41+00:00,10,-1264.0,-1551.0,-26.0,-2,0.645813441759401,0
LOLTMNT06_163319,LEC,2026-01-18T17:13:41+00:00,15,-2834.0,-4345.0,-44.0,-5,0.645813441759401,0
LOLTMNT06_163319,LEC,2026-01-18T17:13:41+00:00,20,-3351.0,-2413.0,-52.0,-5,0.645813441759401,0
LOLTMNT06_163319,LEC,2026-01-18T17:13:41+00:00,25,-592.0,1060.0,-56.0,-2,0.645813441759401,0
LOLTMNT06_164300,LEC,2026-01-18T18:16:21+00:00,10,-338.0,-1266.0,-24.0,0,0.695766383417184,0
LOLTMNT06_164300,LEC,2026-01-18T18:16:21+00:00,15,-707.0,-1104.0,-7.0,0,0.695766383417184,0
LOLTMNT06_164300,LEC,2026-01-18T18:16:21+00:00,20,-3447.0,-4337.0,-19.0,-5,0.695766383417184,0
LOLTMNT06_164300,LEC,2026-01-18T18:16:21+00:00,25,-5212.0,-7173.0,-21.0,-7,0.695766383417184,0
LOLTMNT06_163332,LEC,2026-01-18T19:11:12+00:00,10,-587.0,-821.0,-25.0,0,0.753320707369898,0
LOLTMNT06_163332,LEC,2026-01-18T19:11:12+00:00,15,-4659.0,-4944.0,-69.0,-4,0.753320707369898,0
LOLTMNT06_163332,LEC,2026-01-18T19:11:12+00:00,20,-6081.0,-4621.0,-62.0,-5,0.753320707369898,0
LOLTMNT06_163332,LEC,2026-01-18T19:11:12+00:00,25,-10733.0,-11607.0,-85.0,-13,0.753320707369898,0
LOLTMNT06_164317,LEC,2026-01-18T20:04:44+00:00,10,-665.0,-363.0,-2.0,0,0.787050127207857,0
LOLTMNT06_164317,LEC,2026-01-18T20:04:44+00:00,15,-1287.0,-1067.0,-1.0,-1,0.787050127207857,0
LOLTMNT06_164317,LEC,2026-01-18T20:04:44+00:00,20,-854.0,-358.0,-3.0,-1,0.787050127207857,0
LOLTMNT06_164317,LEC,2026-01-18T20:04:44+00:00,25,-320.0,83.0,-38.0,0,0.787050127207857,0
LOLTMNT06_164335,LEC,2026-01-18T21:10:16+00:00,10,1038.0,354.0,11.0,1,0.5957654429443,0
LOLTMNT06_164335,LEC,2026-01-18T21:10:16+00:00,15,1017.0,1530.0,20.0,1,0.5957654429443,0
LOLTMNT06_164335,LEC,2026-01-18T21:10:16+00:00,20,-2113.0,-1828.0,-5.0,-3,0.5957654429443,0
LOLTMNT06_164335,LEC,2026-01-18T21:10:16+00:00,25,-1296.0,-3298.0,-27.0,-2,0.5957654429443,0
LOLTMNT06_163405,LEC,2026-01-19T16:09:18+00:00,10,1229.0,965.0,25.0,1,0.516734038899427,0
LOLTMNT06_163405,LEC,2026-01-19T16:09:18+00:00,15,933.0,995.0,26.0,0,0.516734038899427,0
LOLTMNT06_163405,LEC,2026-01-19T16:09:18+00:00,20,4391.0,3122.0,44.0,2,0.516734038899427,0
LOLTMNT06_163405,LEC,2026-01-19T16:09:18+00:00,25,7489.0,5738.0,51.0,3,0.516734038899427,0
LOLTMNT06_163424,LEC,2026-01-19T18:14:25+00:00,10,227.0,338.0,-2.0,1,0.443399326336171,1
LOLTMNT06_163424,LEC,2026-01-19T18:14:25+00:00,15,550.0,1100.0,17.0,0,0.443399326336171,1
LOLTMNT06_163424,LEC,2026-01-19T18:14:25+00:00,20,2155.0,1523.0,9.0,1,0.443399326336171,1
LOLTMNT06_163424,LEC,2026-01-19T18:14:25+00:00,25,2520.0,2255.0,38.0,2,0.443399326336171,1
LOLTMNT06_164458,LEC,2026-01-19T19:30:22+00:00,10,1234.0,-268.0,-17.0,3,0.370724768772005,1
LOLTMNT06_164458,LEC,2026-01-19T19:30:22+00:00,15,2923.0,2068.0,1.0,6,0.370724768772005,1
LOLTMNT06_164458,LEC,2026-01-19T19:30:22+00:00,20,5741.0,3909.0,-3.0,10,0.370724768772005,1
LOLTMNT06_164458,LEC,2026-01-19T19:30:22+00:00,25,7050.0,10879.0,-29.0,13,0.370724768772005,1
LOLTMNT06_164476,LEC,2026-01-19T20:23:44+00:00,10,-1230.0,339.0,25.0,-3,0.508243846691889,0
LOLTMNT06_164476,LEC,2026-01-19T20:23:44+00:00,15,-2628.0,-1413.0,-2.0,-4,0.508243846691889,0
LOLTMNT06_164476,LEC,2026-01-19T20:23:44+00:00,20,-215.0,1540.0,9.0,-1,0.508243846691889,0
LOLTMNT06_164476,LEC,2026-01-19T20:23:44+00:00,25,1028.0,2308.0,22.0,0,0.508243846691889,0
LOLTMNT06_164483,LEC,2026-01-19T21:46:20+00:00,10,3456.0,2776.0,52.0,4,0.846947175665517,1
LOLTMNT06_164483,LEC,2026-01-19T21:46:20+00:00,15,6715.0,4706.0,84.0,9,0.846947175665517,1
LOLTMNT06_164483,LEC,2026-01-19T21:46:20+00:00,20,9238.0,6839.0,124.0,11,0.846947175665517,1
LOLTMNT06_164483,LEC,2026-01-19T21:46:20+00:00,25,15795.0,14871.0,173.0,15,0.846947175665517,1
LOLTMNT03_338494,LCK,2026-01-21T08:05:24+00:00,10,-241.0,260.0,3.0,0,0.72166094525526,1
LOLTMNT03_338494,LCK,2026-01-21T08:05:24+00:00,15,-843.0,-397.0,-9.0,0,0.72166094525526,1
LOLTMNT03_338494,LCK,2026-01-21T08:05:24+00:00,20,-3196.0,1541.0,8.0,-2,0.72166094525526,1
LOLTMNT03_338494,LCK,2026-01-21T08:05:24+00:00,25,-2963.0,1058.0,-13.0,-1,0.72166094525526,1
LOLTMNT03_339373,LCK,2026-01-21T09:07:05+00:00,10,222.0,-474.0,15.0,-1,0.740094392403385,0
LOLTMNT03_339373,LCK,2026-01-21T09:07:05+00:00,15,-1702.0,-1556.0,1.0,-3,0.740094392403385,0
LOLTMNT03_339373,LCK,2026-01-21T09:07:05+00:00,20,-2506.0,-3284.0,-25.0,-3,0.740094392403385,0
LOLTMNT03_338498,LCK,2026-01-21T09:52:46+00:00,10,84.0,925.0,-16.0,2,0.715365471923723,1
LOLTMNT03_338498,LCK,2026-01-21T09:52:46+00:00,15,2017.0,1499.0,-32.0,5,0.715365471923723,1
LOLTMNT03_338498,LCK,2026-01-21T09:52:46+00:00,20,5113.0,4103.0,-29.0,10,0.715365471923723,1
LOLTMNT03_338498,LCK,2026-01-21T09:52:46+00:00,25,10701.0,14825.0,6.0,17,0.715365471923723,1
LOLTMNT03_338517,LCK,2026-01-21T11:14:52+00:00,10,-1471.0,-967.0,-10.0,-2,0.640712954194333,0
LOLTMNT03_338517,LCK,2026-01-21T11:14:52+00:00,15,-1996.0,-2221.0,-2.0,-3,0.640712954194333,0
LOLTMNT03_338517,LCK,2026-01-21T11:14:52+00:00,20,-3191.0,-2423.0,-16.0,-3,0.640712954194333,0
LOLTMNT03_338517,LCK,2026-01-21T11:14:52+00:00,25,-4634.0,-3128.0,-19.0,-4,0.640712954194333,0
LOLTMNT03_338532,LCK,2026-01-21T12:06:46+00:00,10,264.0,726.0,-9.0,0,0.531345242532778,0
LOLTMNT03_338532,LCK,2026-01-21T12:06:46+00:00,15,-1470.0,-1002.0,-4.0,-4,0.531345242532778,0
LOLTMNT03_338532,LCK,2026-01-21T12:06:46+00:00,20,-1599.0,-1870.0,-27.0,-4,0.531345242532778,0
LOLTMNT03_338532,LCK,2026-01-21T12:06:46+00:00,25,-3654.0,-6522.0,-65.0,-6,0.531345242532778,0
